Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurance,Reporting District,Agency,Report/No Report
B16-07062,2/23/16,11:54 PM,February,Tuesday,NOISE,403 E 15TH ST,LB213,BPD,No Report
B16-07065,2/24/16,12:38 AM,February,Wednesday,NOISE,1150 S CLARIZZ BLVD; apt h130,LB310,BPD,No Report
B16-07176,2/24/16,11:27 PM,February,Wednesday,NOISE,2036 N WALNUT ST,LB212,BPD,No Report
B16-07269,2/25/16,8:09 PM,February,Thursday,NOISE,612 S STATE ROAD 446; APT 34A,LB307,BPD,No Report
B16-07277,2/25/16,8:58 PM,February,Thursday,NOISE,1309 S PALMER AVE,LB314,BPD,No Report
B16-07278,2/25/16,9:59 PM,February,Thursday,NOISE,420 S GRANT ST,LB104,BPD,No Report
B16-07284,2/25/16,11:56 PM,February,Thursday,NOISE,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,No Report
B16-07298,2/26/16,3:34 AM,February,Friday,NOISE,3100 S WALNUT STREET PIKE; APT BELOW A50,LB336,BPD,No Report
B16-07364,2/26/16,3:26 PM,February,Friday,NOISE,N DUNN ST & E 7TH ST,LB102,BPD,No Report
B16-07380,2/26/16,3:30 PM,February,Friday,NOISE,620 E UNIVERSITY ST,LB302,BPD,No Report
B16-07388,2/26/16,5:39 PM,February,Friday,NOISE,611 S PARK AVE,LB302,BPD,No Report
B16-07408,2/26/16,8:07 PM,February,Friday,NOISE,3100 S WALNUT STREET PIKE; APT 133,LB336,BPD,No Report
B16-07439,2/27/16,12:12 AM,February,Saturday,NOISE,508 S WASHINGTON ST; IN THIS AREA,LB301,BPD,No Report
B16-07440,2/27/16,12:29 AM,February,Saturday,NOISE,201 E 2ND ST,LB104,BPD,No Report
B16-07532,2/27/16,6:27 PM,February,Saturday,NOISE,212 N MORTON ST,LB101,BPD,No Report
B16-07563,2/27/16,10:18 PM,February,Saturday,NOISE,223 W 6TH ST; JANKOS LITTLE ZAGREB,LB101,BPD,No Report
B16-07568,2/27/16,10:21 PM,February,Saturday,NOISE,780 S BASSWOOD DR; APT D,LB415,BPD,No Report
B16-07571,2/27/16,10:55 PM,February,Saturday,NOISE,220 E BROWNSTONE DR,LB213,BPD,No Report
B16-07575,2/27/16,11:22 PM,February,Saturday,NOISE,1301 S WALNUT ST,LB314,BPD,No Report
B16-07578,2/27/16,11:39 PM,February,Saturday,NOISE,515 S WASHINGTON ST,LB301,BPD,No Report
B16-07579,2/27/16,11:49 PM,February,Saturday,NOISE,720 S COLLEGE MALL RD; HUNTER RIDGE APTS  APT G 6,LB305,BPD,No Report
B16-07580,2/27/16,11:59 PM,February,Saturday,NOISE,512 S BASSWOOD DR; APT B,LB404,BPD,No Report
B16-07581,2/28/16,12:05 AM,February,Sunday,NOISE,108 E SOUTHERN DR,LB315,BPD,No Report
B16-07585,2/28/16,12:37 AM,February,Sunday,NOISE,600 E UNIVERSITY ST,LB302,BPD,No Report
B16-07586,2/28/16,12:53 AM,February,Sunday,NOISE,720 S COLLEGE MALL RD; APT G6,LB305,BPD,No Report
B16-07595,2/28/16,1:41 AM,February,Sunday,NOISE,805 E HILLSIDE DR,LB313,BPD,No Report
B16-07596,2/28/16,1:45 AM,February,Sunday,NOISE,403 E 16TH ST,LB213,BPD,No Report
B16-07605,2/28/16,2:27 AM,February,Sunday,NOISE,1442 N KINSER PIKE; APT E4,LB512,BPD,No Report
B16-07606,2/28/16,1:52 AM,February,Sunday,NOISE,2122 E WOODSTOCK PL,LB311,BPD,No Report
B16-07607,2/28/16,3:10 AM,February,Sunday,NOISE,1150 S CLARIZZ BLVD; APT G228,LB310,BPD,No Report
B16-07658,2/28/16,4:44 PM,February,Sunday,NOISE,N DUNN ST & E 8TH ST,LB102,BPD,No Report
B16-07694,2/28/16,11:33 PM,February,Sunday,NOISE,3115 E STRATUM WAY; APT 8,LB310,BPD,No Report
B16-07698,2/29/16,12:45 AM,February,Monday,NOISE,1600 N WILLIS DR; LOT 116,LB513,BPD,No Report
B16-07699,2/29/16,12:36 AM,February,Monday,NOISE,422 E KIRKWOOD AVE; WHICH WICH SUPERIOR SANDWICHES,LB104,BPD,No Report
B16-07706,2/29/16,3:13 AM,February,Monday,NOISE,3210 E JOHN HINKLE PL,LB221,BPD,No Report
B16-07820,2/29/16,10:29 PM,February,Monday,NOISE,1031 E HILLSIDE DR; CARLISLE,LB313,BPD,No Report
B16-07954,3/2/16,1:15 AM,March,Wednesday,NOISE,3100 S WALNUT STREET PIKE; B133,LB336,BPD,No Report
B16-08056,3/2/16,8:37 PM,March,Wednesday,NOISE,414 N GRANT ST,LB102,BPD,No Report
B16-08065,3/2/16,9:24 PM,March,Wednesday,NOISE,913 S LINCOLN ST,LB314,BPD,No Report
B16-08096,3/3/16,12:26 AM,March,Thursday,NOISE,1293 S COBBLE CREEK CIR,LB309,BPD,No Report
B16-08243,3/3/16,11:54 PM,March,Thursday,NOISE,559 S JUNYA ST; APT 24102,LB406,BPD,No Report
B16-08258,3/4/16,3:07 AM,March,Friday,NOISE,601 W KIRKWOOD AVE,LB408,BPD,No Report
B16-08265,3/4/16,3:58 AM,March,Friday,NOISE,701 N COLLEGE AVE; apt 508,LB519,BPD,No Report
B16-08369,3/4/16,8:14 PM,March,Friday,NOISE,318 N JEFFERSON ST,LB222,BPD,No Report
B16-08380,3/4/16,9:40 PM,March,Friday,NOISE,3239 S WALNUT SPRINGS DR,LB336,BPD,No Report
B16-08406,3/5/16,12:17 AM,March,Saturday,NOISE,N WALNUT ST & E 10TH ST; fox row apts.,LB102,BPD,No Report
B16-08410,3/5/16,12:30 AM,March,Saturday,NOISE,3100 S WALNUT STREET PIKE; apt b133,LB336,BPD,No Report
B16-08412,3/5/16,12:18 AM,March,Saturday,NOISE,1762 N WASHINGTON ST,LB212,BPD,No Report
B16-08413,3/5/16,12:02 AM,March,Saturday,NOISE,720 S COLLEGE MALL RD; apt g6,LB305,BPD,No Report
B16-08423,3/5/16,2:24 AM,March,Saturday,NOISE,2609 S KENDALL DR,LB422,BPD,No Report
B16-08426,3/5/16,2:48 AM,March,Saturday,NOISE,103 E 16TH ST,LB213,BPD,No Report
B16-08428,3/5/16,3:51 AM,March,Saturday,NOISE,1496 N KINSER PIKE; apt A1,LB512,BPD,No Report
B16-08475,3/5/16,1:24 PM,March,Saturday,NOISE,1600 N WILLIS DR; LOT 117,LB513,BPD,No Report
B16-08478,3/5/16,1:51 PM,March,Saturday,NOISE,211 E STATE ROAD 45 46 BYPASS,LB209,BPD,No Report
B16-08524,3/5/16,8:47 PM,March,Saturday,NOISE,3100 S WALNUT STREET PIKE; A133,LB336,BPD,No Report
B16-08548,3/5/16,11:53 PM,March,Saturday,NOISE,401 W DODDS ST,LB412,BPD,No Report
B16-08549,3/6/16,12:01 AM,March,Sunday,NOISE,600 E 1ST ST,LB302,BPD,No Report
B16-08551,3/5/16,11:57 PM,March,Saturday,NOISE,700 S PARK AVE,LB302,BPD,No Report
B16-08552,3/6/16,12:09 AM,March,Sunday,NOISE,946 S MAXWELL TER  ;APT A,LB312,BPD,No Report
B16-08555,3/6/16,12:49 AM,March,Sunday,NOISE,209 E 12TH ST,LB213,BPD,No Report
B16-08559,3/6/16,1:23 AM,March,Sunday,NOISE,1004 W COUNTRY CLUB DR; APT 15,LB423,BPD,No Report
B16-08563,3/6/16,1:53 AM,March,Sunday,NOISE,600 E 1ST ST,LB302,BPD,No Report
B16-08564,3/6/16,2:26 AM,March,Sunday,NOISE,700 S WASHINGTON ST,LB301,BPD,No Report
B16-08571,3/6/16,5:28 AM,March,Sunday,NOISE,406 E 11TH ST,LB213,BPD,No Report
B16-08674,3/7/16,1:17 AM,March,Monday,NOISE,3100 S WALNUT STREET PIKE,LB336,BPD,No Report
B16-08678,3/7/16,3:02 AM,March,Monday,NOISE,913 E EMINENCE WAY,LB316,BPD,No Report
B16-08792,3/7/16,7:32 PM,March,Monday,NOISE,541 W TERRY LN,LB513,BPD,No Report
B16-08814,3/7/16,10:04 PM,March,Monday,NOISE,600 E 1ST ST,LB302,BPD,No Report
B16-08821,3/7/16,10:55 PM,March,Monday,NOISE,400 E MELROSE AVE,LB315,BPD,No Report
B16-08916,3/8/16,3:09 PM,March,Tuesday,NOISE,512 S MITCHELL ST,LB303,BPD,No Report
B16-08937,3/8/16,5:38 PM,March,Tuesday,NOISE,1427 W ALLEN ST,LB413,BPD,No Report
B16-08972,3/8/16,10:51 PM,March,Tuesday,NOISE,120 S BRYAN AVE,LB222,BPD,No Report
B16-08981,3/8/16,11:16 PM,March,Tuesday,NOISE,3113 S ACADIA CT,LB329,BPD,No Report
B16-08985,3/8/16,11:58 PM,March,Tuesday,NOISE,219 E 7TH ST; APT 312,LB102,BPD,No Report
B16-08986,3/9/16,12:06 AM,March,Wednesday,NOISE,N WALNUT ST & E 7TH ST,LB102,BPD,No Report
B16-08989,3/9/16,12:17 AM,March,Wednesday,NOISE,315 W KIRKWOOD AVE,LB103,BPD,No Report
B16-09006,3/9/16,2:20 AM,March,Wednesday,NOISE,245 N COLLEGE AVE,LB101,BPD,No Report
B16-09107,3/9/16,3:32 PM,March,Wednesday,NOISE,1600 N WILLIS DR; TRAILER 117,LB513,BPD,No Report
B16-09131,3/9/16,8:00 PM,March,Wednesday,NOISE,1025 W 6TH ST,LB520,BPD,No Report
B16-09133,3/9/16,8:09 PM,March,Wednesday,NOISE,581 E HILLSIDE DR,LB314,BPD,No Report
B16-09138,3/9/16,8:43 PM,March,Wednesday,NOISE,524 N COLLEGE AVE; APT 405,LB101,BPD,No Report
B16-09172,3/10/16,1:51 AM,March,Thursday,NOISE,508 S FESS AVE;  apt 3,LB302,BPD,No Report
B16-09309,3/10/16,11:23 PM,March,Thursday,NOISE,2222 E 5TH ST,LB222,BPD,No Report
B16-09313,3/11/16,12:13 AM,March,Friday,NOISE,425 N WALNUT ST,LB101,BPD,No Report
B16-09318,3/11/16,12:43 AM,March,Friday,NOISE,1109 S WASHINGTON ST,LB314,BPD,No Report
B16-09319,3/11/16,1:14 AM,March,Friday,NOISE,3421 E LONGVIEW AVE; PARK RIDGE PARK,LB220,BPD,No Report
B16-09320,3/11/16,1:22 AM,March,Friday,NOISE,506 S MULLER PKWY; APT 616,LB404,BPD,No Report
B16-09321,3/11/16,1:19 AM,March,Friday,NOISE,1600 N WILLIS DR; LOT 137,LB513,BPD,No Report
B16-09354,3/11/16,10:35 AM,March,Friday,NOISE,1600 N WILLIS DR; LT 117,LB513,BPD,No Report
B16-09415,3/11/16,4:23 PM,March,Friday,NOISE,1600 N WILLIS DR; LOT 117,LB513,BPD,No Report
B16-09429,3/11/16,6:13 PM,March,Friday,NOISE,620 E UNIVERSITY ST,LB302,BPD,No Report
B16-09435,3/11/16,7:20 PM,March,Friday,NOISE,620 E UNIVERSITY ST,LB302,BPD,No Report
B16-09452,3/11/16,9:54 PM,March,Friday,NOISE,722 E UNIVERSITY ST,LB302,BPD,No Report
B16-09473,3/12/16,12:41 AM,March,Saturday,NOISE,108 E KIRKWOOD AVE; FARMBLOOMINGTON; ROOT CELLAR,LB104,BPD,No Report
B16-09484,3/12/16,2:22 AM,March,Saturday,NOISE,615 N LINCOLN ST,LB213,BPD,No Report
B16-09505,3/12/16,7:54 AM,March,Saturday,NOISE,212 N MORTON ST; floor 3,LB101,BPD,No Report
B16-09572,3/12/16,5:54 PM,March,Saturday,NOISE,417 N GRANT ST,LB102,BPD,No Report
B16-09641,3/13/16,10:19 AM,March,Sunday,NOISE,6TH & JACKSON,LB520,BPD,No Report
B16-09669,3/13/16,1:23 PM,March,Sunday,NOISE,1150 S CLARIZZ BLVD; CAMPUS CORNER APARTMENTS,LB310,BPD,No Report
B16-09722,3/13/16,10:04 PM,March,Sunday,NOISE,600 E 1ST ST,LB302,BPD,No Report
B16-09744,3/14/16,4:27 AM,March,Monday,NOISE,302 N WALNUT ST; SCOTTYS BREWHOUSE,LB102,BPD,No Report
B16-09771,3/14/16,12:13 PM,March,Monday,NOISE,1150 S CLARIZZ BLVD; CAMPUS CORNER APARTMENTS   APT N253,LB310,BPD,No Report
B16-09776,3/14/16,12:47 PM,March,Monday,NOISE,620 E UNIVERSITY ST,LB302,BPD,Report
B16-09841,3/14/16,10:25 PM,March,Monday,NOISE,E 10TH ST & N INDIANA AVE,LB102,BPD,No Report
B16-09861,3/15/16,1:48 AM,March,Tuesday,NOISE,104 E KIRKWOOD AVE,LB104,BPD,No Report
B16-09987,3/15/16,10:32 PM,March,Tuesday,NOISE,1600 N WILLIS DR; LOT 117,LB513,BPD,No Report
B16-09997,3/16/16,12:02 AM,March,Wednesday,NOISE,508 S LINCOLN ST,LB301,BPD,No Report
B16-10112,3/17/16,12:02 AM,March,Thursday,NOISE,1600 N WILLIS DR; ARLINGTON VALLEY TRAILER PARK,LB513,BPD,No Report
B16-10121,3/17/16,5:35 AM,March,Thursday,NOISE,416 E 17TH ST; APT 1,LB213,BPD,No Report
B16-10166,3/17/16,4:12 PM,March,Thursday,NOISE,2300 S ROCKPORT RD,LB420,BPD,No Report
B16-10198,3/17/16,9:25 PM,March,Thursday,NOISE,700 S PARK AVE,LB302,BPD,No Report
B16-10239,3/18/16,6:27 AM,March,Friday,NOISE,2425 W 3RD ST; JD BYRIDER,LB404,BPD,No Report
B16-10356,3/18/16,11:53 PM,March,Friday,NOISE,N WALNUT ST & E 6TH ST,LB101,BPD,No Report
B16-10360,3/19/16,12:18 AM,March,Saturday,NOISE,N WALNUT ST & E 6TH ST,LB101,BPD,No Report
B16-10362,3/19/16,12:26 AM,March,Saturday,NOISE,1114 S WOODLAWN AVE,LB313,BPD,No Report
B16-10430,3/19/16,6:13 PM,March,Saturday,NOISE,3375 E JOHN HINKLE PL,LB221,BPD,No Report
B16-10485,3/20/16,3:11 AM,March,Sunday,NOISE,715 N WOODBRIDGE DR,LB216,BPD,No Report
B16-10497,3/20/16,7:03 AM,March,Sunday,NOISE,801 S GREENLEAF CT; BRADFORD RIDGE,LB415,BPD,No Report
B16-10573,3/20/16,11:33 PM,March,Sunday,NOISE,422 S WASHINGTON ST; APT,LB104,BPD,No Report
B16-10580,3/21/16,12:59 AM,March,Monday,NOISE,422 S WASHINGTON ST,LB104,BPD,No Report
B16-10585,3/21/16,2:22 AM,March,Monday,NOISE,422 S WASHINGTON ST,LB104,BPD,No Report
B16-10710,3/21/16,9:32 PM,March,Monday,NOISE,1600 N WILLIS DR; LOT 137,LB513,BPD,No Report
B16-10713,3/21/16,10:10 PM,March,Monday,NOISE,1102 S WASHINGTON ST,LB314,BPD,No Report
B16-10868,3/22/16,11:27 PM,March,Tuesday,NOISE,302 N WASHINGTON ST,LB102,BPD,No Report
B16-10872,3/22/16,11:33 PM,March,Tuesday,NOISE,1403 N LINCOLN ST,LB212,BPD,No Report
B16-10883,3/22/16,11:39 PM,March,Tuesday,NOISE,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,No Report
B16-10887,3/22/16,11:46 PM,March,Tuesday,NOISE,308 E 7TH ST,LB102,BPD,No Report
B16-10995,3/23/16,7:06 PM,March,Wednesday,NOISE,610 N LINCOLN ST,LB213,BPD,No Report
B16-10996,3/23/16,7:14 PM,March,Wednesday,NOISE,600 E 1ST ST,LB302,BPD,No Report
B16-11072,3/24/16,1:40 PM,March,Thursday,NOISE,918 W 4TH ST,LB408,BPD,No Report
B16-11173,3/24/16,10:53 PM,March,Thursday,NOISE,807 N WALNUT ST; APT 3,LB519,BPD,No Report
B16-11182,3/25/16,12:42 AM,March,Friday,NOISE,1150 S CLARIZZ BLVD,LB310,BPD,No Report
B16-11189,3/25/16,3:04 AM,March,Friday,NOISE,518 N LINCOLN ST,LB102,BPD,No Report
B16-11192,3/25/16,3:35 AM,March,Friday,NOISE,703 W GOURLEY PIKE; APT 82,LB513,BPD,No Report
B16-11194,3/25/16,4:00 AM,March,Friday,NOISE,1150 S CLARIZZ BLVD; D 116,LB310,BPD,No Report
B16-11195,3/25/16,4:24 AM,March,Friday,NOISE,219 E 7TH ST; APT 209,LB102,BPD,No Report
B16-11270,3/25/16,8:19 PM,March,Friday,NOISE,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,No Report
B16-11277,3/25/16,8:45 PM,March,Friday,NOISE,524 N COLLEGE AVE,LB101,BPD,No Report
B16-11289,3/25/16,10:10 PM,March,Friday,NOISE,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,No Report
B16-11292,3/25/16,10:42 PM,March,Friday,NOISE,1004 W COUNTRY CLUB DR ; APT 32,LB423,BPD,No Report
B16-11293,3/25/16,10:55 PM,March,Friday,NOISE,1150 S CLARIZZ BLVD; APT N353,LB310,BPD,No Report
B16-11294,3/25/16,10:54 PM,March,Friday,NOISE,S ROCKPORT RD & W RALSTON DR,LB423,BPD,No Report
B16-11299,3/25/16,11:18 PM,March,Friday,NOISE,612 S STATE ROAD 446; APT 34A,LB307,BPD,No Report
B16-11304,3/25/16,11:53 PM,March,Friday,NOISE,508 S LINCOLN ST,LB301,BPD,No Report
B16-11316,3/26/16,12:09 AM,March,Saturday,NOISE,703 W GOURLEY PIKE; COLONIAL CREST APARTMENTS; APT 159,LB513,BPD,No Report
B16-11323,3/26/16,1:48 AM,March,Saturday,NOISE,2652 E CATHCART ST; apt 1,LB318,BPD,No Report
B16-11332,3/26/16,6:07 AM,March,Saturday,NOISE,203 E 8TH ST,LB102,BPD,No Report
B16-11336,3/26/16,6:56 AM,March,Saturday,NOISE,507 S HIGHLAND AVE,LB303,BPD,No Report
B16-11340,3/26/16,8:08 AM,March,Saturday,NOISE,205 E 19TH ST,LB212,BPD,No Report
B16-11342,3/26/16,8:37 AM,March,Saturday,NOISE,1500 N WASHINGTON ST,LB212,BPD,No Report
B16-11345,3/26/16,9:08 AM,March,Saturday,NOISE,208 N LINCOLN ST; HOUSE BEHIND CP,LB102,BPD,No Report
B16-11350,3/26/16,9:52 AM,March,Saturday,NOISE,N WASHINGTON ST & E 8TH ST,LB102,BPD,No Report
B16-11362,3/26/16,10:39 AM,March,Saturday,NOISE,1600 N WILLIS DR; LOT 102 OR 103,LB513,BPD,No Report
B16-11372,3/26/16,1:24 PM,March,Saturday,NOISE,S LINCOLN ST & E ALLEN ST,LB314,BPD,No Report
B16-11388,3/26/16,1:57 PM,March,Saturday,NOISE,1600 N WILLIS DR,LB513,BPD,No Report
B16-11389,3/26/16,2:27 PM,March,Saturday,NOISE,300 W KENWOOD DR,LB519,BPD,No Report
B16-11434,3/26/16,8:26 PM,March,Saturday,NOISE,704 E SHERWOOD HILLS DR,LB329,BPD,No Report
B16-11439,3/26/16,9:00 PM,March,Saturday,NOISE,320 S DUNN ST,LB104,BPD,No Report
B16-11440,3/26/16,9:02 PM,March,Saturday,NOISE,144 N HILLSDALE DR,LB222,BPD,No Report
B16-11578,3/27/16,11:56 PM,March,Sunday,NOISE,1004 W COUNTRY CLUB DR; FAIRWAY APTS APT 32,LB423,BPD,No Report
B16-11650,3/28/16,4:19 PM,March,Monday,NOISE,4225 E STEPHENS DR,LB218,BPD,No Report
B16-11688,3/28/16,10:16 PM,March,Monday,NOISE,N MONROE ST & W ARLINGTON VALLEY DR,LB510,BPD,No Report
B16-11691,3/28/16,10:10 PM,March,Monday,NOISE,S ROCKPORT RD & W RALSTON DR,LB423,BPD,No Report
B16-11693,3/28/16,11:01 PM,March,Monday,NOISE,2500 S ROCKPORT RD; APT 105,LB424,BPD,No Report
B16-11694,3/28/16,11:17 PM,March,Monday,NOISE,S ROGERS ST & W GRAHAM DR,LB423,BPD,No Report
B16-11695,3/28/16,11:06 PM,March,Monday,NOISE,302 N CLARK ST,LB222,BPD,No Report
B16-11697,3/28/16,11:32 PM,March,Monday,NOISE,519 S PARK AVE,LB302,BPD,No Report
B16-11698,3/28/16,11:39 PM,March,Monday,NOISE,1300 S PALMER AVE,LB314,BPD,No Report
B16-11699,3/28/16,11:49 PM,March,Monday,NOISE,3292 S WALNUT SPRINGS DR,LB336,BPD,No Report
B16-11700,3/29/16,12:08 AM,March,Tuesday,NOISE,4656 W SUNSET AVE,LB402,BPD,No Report
B16-11704,3/29/16,1:11 AM,March,Tuesday,NOISE,212 N MORTON ST; APT 710,LB101,BPD,No Report
B16-11705,3/29/16,2:56 AM,March,Tuesday,NOISE,720 S COLLEGE MALL RD; APT G2,LB305,BPD,No Report
B16-11817,3/29/16,11:20 PM,March,Tuesday,NOISE,104 E KIRKWOOD AVE; apt 301,LB104,BPD,No Report
B16-11821,3/29/16,11:42 PM,March,Tuesday,NOISE,530 N LINCOLN ST,LB102,BPD,No Report
B16-11825,3/30/16,3:03 AM,March,Wednesday,NOISE,N COLLEGE AVE & W 6TH ST,LB101,BPD,No Report
B16-11895,3/30/16,5:09 PM,March,Wednesday,NOISE,E 2ND ST & S DUNN ST,LB301,BPD,No Report
B16-11916,3/30/16,6:21 PM,March,Wednesday,NOISE,218 E VARSITY LN,LB212,BPD,No Report
B16-11930,3/30/16,9:41 PM,March,Wednesday,NOISE,1309 S PALMER AVE,LB314,BPD,No Report
B16-11939,3/30/16,11:27 PM,March,Wednesday,NOISE,1709 W 8TH ST; VALHALLA MOBILE MANOR; lot 24,LB521,BPD,No Report
B16-11959,3/31/16,2:47 AM,March,Thursday,NOISE,716 S PARK AVE,LB302,BPD,No Report
B16-12060,3/31/16,10:31 PM,March,Thursday,NOISE,405 E COTTAGE GROVE AVE,LB213,BPD,No Report
B16-12065,3/31/16,10:57 PM,March,Thursday,NOISE,335 E 7TH ST,LB102,BPD,No Report
B16-12071,3/31/16,11:02 PM,March,Thursday,NOISE,615 N LINCOLN ST,LB213,BPD,No Report
B16-12080,3/31/16,11:58 PM,March,Thursday,NOISE,W 11TH ST & N MORTON ST,LB519,BPD,No Report
B16-01848,1/15/16,10:17 AM,January,Friday,PANHANDLING,2300 N WALNUT ST; MCDONALDS NORTH,LB209,BPD,No Report
B16-02080,1/16/16,7:52 PM,January,Saturday,PANHANDLING,1000 N COLLEGE AVE; CVS PHARMACY NORTH,LB519,BPD,No Report
B16-02248,1/18/16,9:56 AM,January,Monday,PANHANDLING,2300 N WALNUT ST; MCDONALDS NORTH,LB209,BPD,No Report
B16-02525,1/20/16,1:49 PM,January,Wednesday,PANHANDLING,E 3RD ST & S PETE ELLIS DR,LB305,BPD,No Report
B16-02715,1/21/16,6:46 PM,January,Thursday,PANHANDLING,3100 S WALNUT STREET PIKE; BLDG A,LB336,BPD,Report
B16-02936,1/23/16,10:33 AM,January,Saturday,PANHANDLING,1825 N KINSER PIKE; MARSH SUPERMARKET NORTH,LB510,BPD,No Report
B16-02968,1/23/16,3:17 PM,January,Saturday,PANHANDLING,115 S WALNUT ST;YARNS UNLIMITED,LB104,BPD,No Report
B16-03211,1/25/16,11:40 AM,January,Monday,PANHANDLING,3233 W 3RD ST; BOB EVANS,LB403,BPD,No Report
B16-03523,1/27/16,2:24 PM,January,Wednesday,PANHANDLING,907 W 11TH ST; OPPORTUNITY HOUSE,LB518,BPD,Report
B16-03663,1/28/16,2:03 PM,January,Thursday,PANHANDLING,3175 W 3RD ST; KMART WEST,LB403,BPD,Report
B16-03867,1/29/16,9:03 PM,January,Friday,PANHANDLING,401 S WALNUT ST; CHOCOLATE MOOSE,LB104,BPD,No Report
B16-03995,1/30/16,6:21 PM,January,Saturday,PANHANDLING,S GRANT ST & E KIRKWOOD AVE,LB102,BPD,Report
B16-05332,2/11/16,11:45 AM,February,Thursday,PANHANDLING,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,No Report
B16-05591,2/13/16,11:31 AM,February,Saturday,PANHANDLING,322 E KIRKWOOD AVE; SOMA COFFEE HOUSE AND JUICE BAR,LB104,BPD,No Report
B16-06023,2/16/16,9:28 PM,February,Tuesday,PANHANDLING,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,No Report
B16-06229,2/18/16,2:52 PM,February,Thursday,PANHANDLING,S STATE ROAD 37 & W 3RD ST,LB524,BPD,No Report
B16-06685,2/21/16,11:09 AM,February,Sunday,PANHANDLING,702 E MOODY DR,LB316,BPD,No Report
B16-06801,2/22/16,12:13 PM,February,Monday,PANHANDLING,S WALNUT ST & E KIRKWOOD AVE,LB102,BPD,No Report
B16-06827,2/22/16,2:37 PM,February,Monday,PANHANDLING,W 3RD ST & S GATES DR,LB403,BPD,No Report
B16-07371,2/26/16,4:09 PM,February,Friday,PANHANDLING,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,No Report
B16-07516,2/27/16,5:33 PM,February,Saturday,PANHANDLING,N WALNUT ST & E 7TH ST,LB102,BPD,No Report
B16-08070,3/2/16,10:15 PM,March,Wednesday,PANHANDLING,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,No Report
B16-08761,3/7/16,2:59 PM,March,Monday,PANHANDLING,4021 W 3RD ST; BIG RED LIQUORS 4021 W 3RD ST,LB402,BPD,No Report
B16-09408,3/11/16,4:03 PM,March,Friday,PANHANDLING,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,No Report
B16-09890,3/15/16,12:08 PM,March,Tuesday,PANHANDLING,W STATE ROAD 45 & S LIBERTY DR,LB416,BPD,No Report
B16-10081,3/16/16,6:33 PM,March,Wednesday,PANHANDLING,527 E 3RD ST; CIRCLE K 3RD AND INDIANA,LB104,BPD,No Report
B16-10167,3/17/16,4:31 PM,March,Thursday,PANHANDLING,425 E KIRKWOOD AVE; THE FLATS,LB102,BPD,No Report
B16-10178,3/17/16,6:35 PM,March,Thursday,PANHANDLING,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,No Report
B16-10326,3/18/16,8:05 PM,March,Friday,PANHANDLING,430 E KIRKWOOD AVE,LB104,BPD,No Report
B16-10392,3/19/16,10:36 AM,March,Saturday,PANHANDLING,409 E KIRKWOOD AVE; VILLAGE DELI; VILLAGE DELI,LB102,BPD,No Report
B16-10400,3/19/16,11:58 AM,March,Saturday,PANHANDLING,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,No Report
B16-10527,3/20/16,3:34 PM,March,Sunday,PANHANDLING,305 E WINSLOW RD; WINSLOW PLAZA,LB326,BPD,No Report
B16-10540,3/20/16,4:33 PM,March,Sunday,PANHANDLING,305 E WINSLOW RD; WINSLOW PLAZA,LB326,BPD,No Report
B16-10575,3/21/16,12:13 AM,March,Monday,PANHANDLING,305 E WINSLOW RD; WINSLOW PLAZA,LB326,BPD,Report
B16-10779,3/22/16,10:43 AM,March,Tuesday,PANHANDLING,3175 W 3RD ST; KMART WEST,LB403,BPD,No Report
B16-10809,3/22/16,5:30 PM,March,Tuesday,PANHANDLING,E 3RD ST & S CLARIZZ BLVD,LB221,BPD,No Report
B16-11054,3/24/16,8:31 AM,March,Thursday,PANHANDLING,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,No Report
B16-11148,3/24/16,9:01 PM,March,Thursday,PANHANDLING,221 N WALNUT ST; BLACKS MERCANTILE; BLACKS MERCENTILE,LB101,BPD,No Report
B16-11151,3/24/16,9:44 PM,March,Thursday,PANHANDLING,430 E KIRKWOOD AVE; JIMMY JOHNS KIRKWOOD,LB104,BPD,No Report
B16-11239,3/25/16,3:40 PM,March,Friday,PANHANDLING,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,No Report
B16-11317,3/26/16,12:49 AM,March,Saturday,PANHANDLING,110 N WALNUT ST,LB102,BPD,No Report
B16-11319,3/26/16,1:21 AM,March,Saturday,PANHANDLING,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,No Report
